,country,description,designation,points,price,province,region_1,region_2,variety,winery,Red?,Wine_Bins
10,Italy,"Biondi-Santi performs exceptionally well in elegant vintages like 2006. This wine is balanced and fresh, with lingering notes of wild berry, white cherry, cola, spice and dark chocolate. Age this wine 10 years or more.",Riserva,94,900.0,Tuscany,Brunello di Montalcino,Brunello di Montalcino,Sangiovese Grosso,Biondi Santi,True,Iconic: Over $50
12,Australia,"This has all the size and weight you've come to expect from Australia's most famous wine. Huge fruit and huge oak combine in a full-bodied, richly textured package that delivers waves of toasted coconut, vanilla and intense dark berries yet remains embryonic more than five years after the harvest. That said, the texture isn't quite as tight or as fine as some other vintages—expect this to be early maturing by Grange standards, and best from 2020–2040.",Grange,98,850.0,South Australia,South Australia,South Australia,Shiraz,Penfolds,True,Iconic: Over $50
11,France,"While there is certainly plenty of wood here, the wine has weight and impressive concentration for the year. The tannins are still brooding away, giving a dark firm character to the wine. Blackberry fruits and acidity are there, but still well buried in the tannins.",*Unknown Wine*,95,850.0,Bordeaux,Saint-Émilion,Saint-Émilion,Bordeaux-style Red Blend,Château Ausone,True,Iconic: Over $50
13,France,"Full of ripe fruit, opulent and concentrated, this is a fabulous and impressive wine. It has a beautiful line of acidity balanced with ripe fruits. The wood aging is subtle, just a hint of smokiness and toast. This is one of those wines, from a great white wine vintage, that will age many years. Drink from 2024.",*Unknown Wine*,100,848.0,Bordeaux,Pessac-Léognan,Pessac-Léognan,Bordeaux-style White Blend,Château Haut-Brion,False,Iconic: Over $50
14,France,"The palate opens slowly, offering an initial citrus character, followed by wood and then, finally, wonderfully rich, but taut fruit. There is still a toast character here, with apricots and pear on top of the citrus, but it is still only just developing. In 10–15 years, it will be a magnificent wine.",*Unknown Wine*,98,800.0,Bordeaux,Pessac-Léognan,Pessac-Léognan,Bordeaux-style White Blend,Château Haut-Brion,False,Iconic: Over $50
15,Italy,"Thanks to having some of the highest vineyards in Montalcino, Biondi Santi was able to make a stunning Riserva in the hot and forward 2007 vintage. It opens with aromas of forest floor and dried rose petals. The palate showcases concentrated wild cherry and cinnamon-spice flavors alongside bracing tannins. The wine already boasts impressive depth and structure as well as remarkable freshness for the vintage, but give it time to fully develop. Drink 2017–2037.",Riserva,94,800.0,Tuscany,Brunello di Montalcino,Brunello di Montalcino,Sangiovese,Biondi Santi,True,Iconic: Over $50
16,Germany,"Dusty earth and mineral tones lend contrast to sweet, sunny tangerine and caramel in this feather-light TBA. The palate is persistent and pristine, awash in stone fruit flavors that pierce with laser-like brilliance. Delectable now for it's youth and fruitiness, but likely to develop mineral complexities for decades to come.",Kiedrich Gräfenberg Trockenbeerenauslese,95,775.0,Rheingau,Rheingau,Rheingau,Riesling,Robert Weil,False,Iconic: Over $50
17,Germany,"Perfumed florals mingle curiously with deep, dusty mineral notes on this bracing TBA. Sunny nectarine and tangerine flavors are mouthwatering and juicy, struck with acidity, then plunged into pools of sweet honey and nectar. It's a delightful sensory roller coaster that feels endless on the finish.",Kiedrich Gräfenberg Trockenbeerenauslese,95,775.0,Rheingau,Rheingau,Rheingau,Riesling,Robert Weil,False,Iconic: Over $50
18,Spain,"This single-vineyard Carignan is living proof of how impressive the variety can be, especially when hailing from a top year like 2012. Schisty aromas of blackberry, chocolate and mocha are smooth and alluring. This feels focused, pure and juicy, while dense blackberry, mocha and baking spice flavors tail off with exotic notes of Malabar pepper, toast and the finest black coffee. Drink through 2023.",El Perer,96,770.0,Catalonia,Priorat,Priorat,Carignan,Marco Abella,True,Iconic: Over $50
19,Portugal,"While this wine from a year that was not declared as a vintage, it has sweetness and ripe caramel and toffee character and it does, inevitably, show some age. So the acidity and intense wood flavors are dominant, giving a wine that is dry while still very drinkable. It is a Port that is so concentrated and dense—the distillation of a tawny. Drink this impressive wine now.",Colheita Tawny,93,770.0,Port,Port,Port,Port,Kopke,True,Iconic: Over $50
20,Hungary,"Surprisingly subtle, yet maddeningly complex, this is a rare treat to unravel slowly, sip by sip. Sweet and honeyed on the nose with scents of freesia, orange peel and stone fruit, but accented with just a hint of sun-dried hay. The palate is deeply concentrated with undulating waves of honey, beeswax and fruit, but balanced with striking tangerine acidity. Remarkably long on the finish.",Essencia,94,764.0,Tokaji,Tokaji,Tokaji,Furmint,Royal Tokaji,False,Iconic: Over $50
21,France,"From arguably the finest white wine vineyard in Burgundy, this is a powerful wine that shows great weight, but balances that with intense, elegant structure, style and freshness. The flavors are endless and complex, richness combining with the lively character of the vintage. Age for many years.",*Unknown Wine*,98,757.0,Burgundy,Montrachet,Montrachet,Chardonnay,Bouchard Père & Fils,False,Iconic: Over $50
22,France,"Solid and tannic, it perhaps lacks huge weight but shows elegant structure and rounded tannins. The wine is already deliciously fruity, and will charm as it ages. Black fruits are right up front, the tannins a fine supporting act. Drink from 2017.",Les Quatre Journaux,93,740.0,Burgundy,Romanée-St.-Vivant,Romanée-St.-Vivant,Pinot Noir,Louis Latour,True,Iconic: Over $50
23,France,"With 83% Sémillon in the blend, this wine has weight as well as richness. At the same time, it has a crisp edge, a smoky character from wood aging and the fine balance between citrus and more exotic fruits. It is a wine to age for many years. Drink from 2022.",*Unknown Wine*,97,698.0,Bordeaux,Pessac-Léognan,Pessac-Léognan,Bordeaux-style White Blend,Château La Mission Haut-Brion,False,Iconic: Over $50
24,France,"The wine shows the power typical of a Lafite but within the context of the fruity 2011 vintage. The immensely dense tannic structure gives the wine a solid feel that is lifted by so much ripe black currant and berry fruits. At the back, the wine has a more brooding, dark character that suggests great aging potential. Drink this wine from 2019.",*Unknown Wine*,96,685.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Lafite Rothschild,True,Iconic: Over $50
25,Germany,"Sweet and savory interplay through this exotic TBA, balancing waves of candied orange rind and caramelized sugar with umami-rich notes of sea breeze and dried herb. It's delicate on the palate, but lingers long with bright tangerine acidity. Delicious now, but would be fascinating to try in 10 years.",Kiedrich Gräfenberg Trockenbeerenauslese,92,670.0,Rheingau,Rheingau,Rheingau,Riesling,Robert Weil,False,Iconic: Over $50
26,France,"Big tannins and impressive fruits are the hallmarks of this impressive wine. It is also subtle, not showing all its flavors at once, hiding beneath tannins and structure. For this fruity vintage, it shows a strong sense of direct, solid structure, only allowing the strong black plum and berry flavors to come through slowly. It is for the long haul, so don't drink before 2022, even better later.",*Unknown Wine*,97,660.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Latour,True,Iconic: Over $50
27,France,"From a parcel within the Chevalier-Montrachet vineyard, this is beautifully balanced, but a wine with considerable potential. It is rich, but thrust through with a sword of steel, giving acidity that offers a succulent counterpoint to the yellow fruits. The wood is becoming well integrated, offering further richness. For long-term aging.",La Cabotte,96,660.0,Burgundy,Chevalier-Montrachet,Chevalier-Montrachet,Chardonnay,Bouchard Père & Fils,False,Iconic: Over $50
28,France,"A firm and tannic wine, this has dry spices, dark fruits and concentration. Great depth of flavor gives a serious wine that also has a fruit-driven profile. Concentrated dark tannins push this wine to a great height and impressive length. Drink from 2020.",*Unknown Wine*,97,639.0,Burgundy,Grands-Echezeaux,Grands-Echezeaux,Pinot Noir,Joseph Drouhin,True,Iconic: Over $50
29,US,"The former basketball star's initial release immediately establishes itself among the elite Cabernets of Napa Valley. Made from mountain vineyards on Atlas Peak and benches in the Rutherford appellation, it combines intensity with elegance. Bursts with upfront, delicious blackberry, crème de cassis and dark chocolate flavors that are wildly sweet on the midpalate, but then finish thoroughly dry. Structure comes by way of a tangy minerality and finely laced tannins. This is one of those wines that is softly decadent from start to finish, although it's probably not one to hold much beyond six years.",Family Reserve,97,625.0,California,Napa Valley,Napa,Cabernet Sauvignon,Yao Ming,True,Iconic: Over $50
30,Australia,"This stellar wine takes a little time in the glass to show its true class, but once it's properly aerated, the aromas go from rather vague and lifted to plummy and spice laden. In the mouth, it's rich, creamy-textured and lush, offering the flavors of plum pudding without the excessive weight that the words suggest, plus hints of grilled meat. Again, with airing, it gets even better, piling on more red fruit notes and turning more elegant. A great example of Shiraz, but how many people will be able to justify the $25/ounce expenditure?",Hill of Grace,95,625.0,South Australia,Eden Valley,Eden Valley,Shiraz,Henschke,True,Iconic: Over $50
31,Italy,"A rich, ripe expression of one of Italy's iconic wines, this displays the heat of the 2011 vintage. It opens with aromas of red currants, tobacco, oak and exotic spice while the full-bodied palate delivers dried black cherries, blueberry extract, licorice and black pepper. Densely concentrated and tightly packed with assertive but fine-grained tannins, you'll need to give this time to unwind. Drink 2017–2026.",*Unknown Wine*,94,625.0,Tuscany,Toscana,Toscana,Merlot,Masseto,True,Iconic: Over $50
32,Germany,"Hugely sweet yet reasonably balanced given its enormous concentration, this is a tremendous example of the quality heights sweet Riesling can achieve. Golden raisin, dried apricots and candied pineapple all swirl together in a delicious haze of sugar-coma-inducing syrup that nevertheless goes down easily. Will age easily for decades.",Kiedrich Gräfenberg Trockenbeerenauslese,97,612.0,Rheingau,Rheingau,Rheingau,Riesling,Robert Weil,False,Iconic: Over $50
36,France,"There is a lightness about this vintage of Mouton Rothschild. It doesn't take away from its quality but does give the wine poise and an attractive lift. The wine is based on solid tannins, then the ripe fruit builds layers of fruitiness and freshness. It is not likely to be one of the longest-aging Moutons, but it will be delicious. Drink from 2020.",*Unknown Wine*,95,600.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild,True,Iconic: Over $50
35,France,"This is a powerful wine, driven by fruit and dark, firm tannins. It has a solid, chunky character, although that is balanced by the black plum and berry fruits and serious acidity. Both for its weight and its structure, it should age for several more years.",*Unknown Wine*,92,600.0,Burgundy,Chambertin,Chambertin,Pinot Noir,Domaine Henri Rebourseau,True,Iconic: Over $50
34,Australia,"This is dark and concentrated, as you might expect from Australia's most heralded wine. Oaky scents of maple syrup and vanilla frame hints of mint and superintense dark fruit. On the palate, it's a huge, tannic behemoth that needs 10 years of cellaring, but it delivers plenty of pleasure now in its ultraclean flavors of blackberries, baking spices and vanilla.",Grange,97,600.0,South Australia,South Australia,South Australia,Shiraz,Penfolds,True,Iconic: Over $50
33,France,"This wine is deceptive. At first smell and taste, it doesn't show much—its spice and green-fruit aromas are not at all obvious. It's when you roll it around your mouth, that all the layers of flavor emerge. It is powerful, rounded, but with a fine line of minerality that holds the whole wine on a knife edge. The wood is beautifully judged, the fruit just beginning to develop secondary aromas. Hold for several years.",*Unknown Wine*,95,600.0,Burgundy,Montrachet,Montrachet,Chardonnay,Bouchard Père & Fils,False,Iconic: Over $50
37,Spain,"Toasty and black as midnight on the nose, this has mineral-driven, tight-grained oak, with a blackberry aroma that won't quit. It feels deep, dense and saturated on multiple levels, with black fruit flavors leading the charge, followed by clove and hickory accents. Warm, long and driving on the finish. Drink 2014–2020. Just over 100 cases and magnums made.",Figuero Tinus,93,599.0,Northern Spain,Ribera del Duero,Ribera del Duero,Tempranillo,García Figuero,True,Iconic: Over $50
38,France,"This is a beautifully shaped wine that rises from a quiet opening. Muted and slightly closed up at this stage, it opens opulently but with balanced acidity and crispness, as well as richness and restrained power.",Marquis de Laguiche,96,596.0,Burgundy,Montrachet,Montrachet,Chardonnay,Joseph Drouhin,False,Iconic: Over $50
39,Portugal,"Properly old gold in color, this is a wine from a single year, aged in casks. It's poised between amazing fruit and a wonderful velvet texture that is shot through with acidity. A feeling of lightness comes from the acidity that gives great freshness as well as complex flavors. It's ready to drink.",Very Old Single Harvest,95,588.0,Port,Port,Port,Port,Taylor Fladgate,True,Iconic: Over $50
40,France,"A ripe wine, with a delicious citrus and pear character, sweet fruits and an edge of spice. Pineapple acidity gives both richness and freshness. The wine has both balance and final acidity.",*Unknown Wine*,93,580.0,Bordeaux,Pessac-Léognan,Pessac-Léognan,Bordeaux-style White Blend,Château Laville Haut-Brion,False,Iconic: Over $50
41,France,"Taut and mineral, this is currently a wine that is waiting to reveal its power and majesty. The fruit is on a tight rein of acidity, which only slowly opens up to show mango, pineapple, crisp citrus, layers of toast and a mouth-enveloping richness. Age for at least five years, preferably 10.",*Unknown Wine*,97,574.0,Burgundy,Chevalier-Montrachet,Chevalier-Montrachet,Chardonnay,Domaine Leflaive,False,Iconic: Over $50
42,France,"A solidly structured wine, it is both elegant and intensely powerful. It is disclosing its fruitiness slowly, at the moment dense and concentrated. A restrained edge provides complexity and balance. It will need aging, so don't drink before 2022.",*Unknown Wine*,95,550.0,Bordeaux,Margaux,Margaux,Bordeaux-style Red Blend,Château Margaux,True,Iconic: Over $50
43,France,"A ripe, toasty wine, very buttery. It has rich, almost sweet yellow fruit balanced with a wonderful mineral texture. The wine, of course, is still very young, but shows its future as being rounded and opulent. The acidity that holds it all together shows in the finish.",*Unknown Wine*,97,550.0,Burgundy,Chevalier-Montrachet,Chevalier-Montrachet,Chardonnay,Domaine Leflaive,False,Iconic: Over $50
44,Australia,"This is a bold, full-flavored, authoritative example of Eden Valley Shiraz. Cool-climate notes of cracked pepper elegantly frame waves of blackberry fruit that are fresh and zingy, not cooked or confected. This is firmly structured and built for the cellar, yet the tannins are ripe, forming a silky web that supports the fruit on the prolonged finish. Drink 2012–2035.",Hill of Grace Vineyard,96,550.0,South Australia,Eden Valley,Eden Valley,Shiraz,Henschke,True,Iconic: Over $50
45,Italy,"The phenomenal 2010 vintage shows why this wine is considered Italy's top purebred Merlot. Revealing structure, finesse and mesmerizing depth, it delivers blackberries, currants, cedar, exotic spices and mocha alongside firm, polished tannins and fresh acidity. It's well balanced with fantastic length and while it's delicious now, hold for more complexity. Drink 2015–2030.",*Unknown Wine*,97,550.0,Tuscany,Toscana,Toscana,Merlot,Masseto,True,Iconic: Over $50
46,France,"A tropical- fruited wine, full of toast and apricot and melon fruits. It is deliciously ripe and soft with the acidity lost in the richness. It is opulent and already a pleasure to drink.",*Unknown Wine*,94,545.0,Bordeaux,Pessac-Léognan,Pessac-Léognan,Bordeaux-style White Blend,Château Haut-Brion,False,Iconic: Over $50
47,Hungary,"This famed Hungarian dessert wine never disappoints. An elegant nose of honey, apricot, butterscotch and spice is followed by a luxuriant, mouth-coating wave of satiny honey and apricot flavors, balanced by citrusy acidity. Complex, perfectly poised, it's a wine with both pedigree and charm—delicious when sipped alone or paired with a mild Roquefort or fruit.",Essencia,95,544.0,Tokaji,Tokaji,Tokaji,Tokaji,Royal Tokaji,False,Iconic: Over $50
48,Italy,"Winemaker Romano Dal Forno fearlessly confronted the soggy 2002 vintage with high extraction techniques and barrique aging (36 months). This is an inky, dense wine (more syrupy than it is vinous) with black currant, peppermill, chocolate fudge and big firm wood tannins. It is so monolithic, a viable food match is virtually impossible. As always, Dal Forno straddles a fine line between brilliance and exaggeration.",Vigneto di Monte Lodoletta,90,535.0,Veneto,Amarone della Valpolicella,Amarone della Valpolicella,"Corvina, Rondinella, Molinara",Dal Forno Romano,True,Iconic: Over $50
49,Italy,"Dal Forno delivers one of the world's most impossibly rich and concentrated red wines. Using grapes sourced from the high-density Monte Lodoletta vineyard, this inky, dark expression oozes with syrupy tones of maraschino, dark chocolate fudge, cinnamon spice, crushed clove and barbecue smoke. In keeping with the wine's legendary reputation for long aging potential, the tannins are rock solid at the moment.",*Unknown Wine*,95,530.0,Veneto,Amarone della Valpolicella,Amarone della Valpolicella,"Corvina, Rondinella, Molinara",Dal Forno Romano,True,Iconic: Over $50
50,France,"Despite its power, this is so elegant, showing tannins, minerality and generous flavors of black fruits, dark chocolate and spices. The smooth and rich surface belies the inner taut texture, showing how the wine will need many years to finally come round.",Chambertin Clos de Bèze Grand Cru,96,525.0,Burgundy,Chambertin Clos de Bèze,Chambertin Clos de Bèze,Pinot Noir,Domaine Perrot-Minot,True,Iconic: Over $50
51,France,"This is the big one, one of the most treasured white wine vineyards in the world. And the wine is magnificent, balanced with restrained power and style. Yellow fruits are shot through with acidity that conveys a nervy texture and an intense, concentrated character. This needs many years; don't drink before 2020.",*Unknown Wine*,95,520.0,Burgundy,Montrachet,Montrachet,Chardonnay,Louis Latour,False,Iconic: Over $50
52,Germany,"Zesty on the nose, with whiffs of orange rind, lemon and pineapple, this bright, zippy beerenauslese counters laser-focused acidity with creamy honey and marmalade flavors. Pleasantly astringent, it finishes on a bracing pink-grapefruit note. It's delicious now, but its honeyed citrus palate should gain complexity and dimension over the next 5–10 years.",Hattenheimer Wisselbrunnen Beernauslese Gold Cap,90,510.0,Rheingau,Rheingau,Rheingau,Riesling,Baron Knyphausen,False,Iconic: Over $50
53,France,"Orange-pink in color, this a super-rich rosé. The flavors are of orange zest, citrus and red currants, with a beautiful contrast of hazelnuts. The texture, round and succulent, is still able to offer minerality and a crisp aftertaste.",Cristal Rosé Brut,95,505.0,Champagne,Champagne,Champagne,Champagne Blend,Louis Roederer,False,Iconic: Over $50
64,Germany,"Enticing scents of grapefruit zest and bees wax are fitting openers to this creamy, rich TBA full of luscious orange-marmalade flavor. Bright, brisk tangerine acidity adds freshness and levity to the palate, leading to a long, honeyed finish.",Erbacher Marcobrunn Trockenbeerenauslese,93,500.0,Rheingau,Rheingau,Rheingau,Riesling,Schloss Reinhartshausen,False,Iconic: Over $50
63,France,"A fine wine that offers power, generosity and also a chalky, mineral character. No wonder Montrachet is seen as the greatest grand cru—it has structure, concentration, delicious fruit and layers of complexity. It also needs to age. To drink this wine now would be more than a shame.",*Unknown Wine*,96,500.0,Burgundy,Montrachet,Montrachet,Chardonnay,Etienne Sauzet,False,Iconic: Over $50
62,Australia,"This Cabernet equivalent to Grange has exploded in price (I remember tasting the 1996 on release when it was $25 per bottle), but there's no questioning the quality. A deep, intense nose of cassis, earth, menthol and cedar is followed by a full, rich palate that's supple without being soft. Brighter notes of red fruit emerge on the lengthy finish, which is dominated by sweet fruit and creamy lactones. Drink 2020–2030, and probably well beyond.",Bin 707,95,500.0,South Australia,South Australia,South Australia,Cabernet Sauvignon,Penfolds,True,Iconic: Over $50
61,US,"Here's a big, flashy, cult-style wine if ever there was one. It offers masses of blackberries, black currants, coffee, spices and new oak. Vastly rich, it defines the Harlan Estate style, although, in this vintage, perhaps not quite at its highest expression. Nonetheless the wine is fat and unctuous and immediately drinkable, thanks to refined tannins. Yet it should age effortlessly through 2018.",*Unknown Wine*,94,500.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Harlan Estate,True,Iconic: Over $50
60,Spain,"Name and reputation get you only so far, as this underwhelming offering from a poor vintage proves. Compact stewy aromas of baked berry fruits and asphalt are the appetizer. A main course of chunky jammy stewy berry and prune flavors finishes with a desiccated essence. Unico is known to age for decades, but not this vintage. Drink now for what it's worth.",Unico,89,500.0,Northern Spain,Ribera del Duero,Ribera del Duero,Tempranillo-Cabernet Sauvignon,Vega Sicilia,True,Iconic: Over $50
59,US,"Ripe and flashy, offering tiers of cassis, chocolate and charry new oak flavors, wrapped in sweet, smooth tannins. Has an acidic bite midpalate that balances the lushness, and will add to the wine's cellar-worthiness. Defines sheer power, but never loses control. Best now and through 2017, at least.",Red Wine,96,500.0,California,Oakville,Napa,Cabernet Blend,Screaming Eagle,True,Iconic: Over $50
58,Germany,"This TBA shows an incredible likeness to Earl Grey tea, sweetened with honey and made subtly even more complex through the inclusion of dried stone fruits. It's rich and concentrated, not just sugary, but could use just a tiny bit more acidity to completely balance the finish. A decade or two of cellaring should see a more balanced wine in the end.",Erbacher Marcobrunn Trockenbeerenauslese,93,500.0,Rheingau,Rheingau,Rheingau,Riesling,Schloss Reinhartshausen,False,Iconic: Over $50
57,France,"This comes from high up in the Chevalier-Montrachet vineyard, from vines surrounding a small workers shed, the “cabotte.” It is the better of the two bottlings from this vineyard by Bouchard, although “better” here is like differentiating between two stars on top form. It has great poise, so although the richness is there, it is shot through with acidity and citric flavors that underline the huge, ripe fruit. Age for 10 years for best results.",La Cabotte,96,500.0,Burgundy,Chevalier-Montrachet,Chevalier-Montrachet,Chardonnay,Bouchard Père & Fils,False,Iconic: Over $50
56,France,"This wine is just starting out, which explains the toast factor that currently dominates the nose and palate. As it opens, the opulent, ripe fruit from this great vineyard shows through in the form of powerful, and intense pineapple and apricot flavors that mingle in the tight texture. It will age for many years—start with at least six.",Chevalier-Montrachet Grand Cru,95,500.0,Burgundy,Chevalier-Montrachet,Chevalier-Montrachet,Chardonnay,Olivier Leflaive,False,Iconic: Over $50
55,Italy,"Aromas of crushed plum, asphalt, oak, toast, exotic spice and forest floor lead the nose. The palate delivers black cherry, mocha, licorice and mineral alongside bracing, tightly woven tannins that need time to unwind. Drink 2017–2031.",Sorì Tildin,92,500.0,Piedmont,Langhe,Langhe,Red Blend,Gaja,True,Iconic: Over $50
54,France,"A big and powerful wine, with tannins that are compact and dense. The dryness of the tannins go right to the core, surrounded by chocolate, sweet fruit and dark berry flavors. The wine is well structured, big and bold, with plenty of firmness promising aging.",*Unknown Wine*,95,500.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Latour,True,Iconic: Over $50
65,Italy,"Costa Russi presents a dark wall of ripe fruit and an exotic spice shading that give momentum and power to the finish. There are also notes of plum, dark chocolate, tobacco, licorice and tar. The quality of the tannins is firm and polished; this should evolve over many years to come.",Costa Russi,95,495.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
66,France,"This new Champagne brand's rosé is soft, with a sweet strawberry flavor. It has a fine balance of acidity and ripe fruit, with a crisp finish despite the intruding sweetness.",Noblesse d'Or Brut Rosé,86,495.0,Champagne,Champagne,Champagne,Champagne Blend,Michel Moritz,False,Iconic: Over $50
67,Italy,"There's always something magical about Gaja's Sorì San Lorenzo. It's the intensity and fullness of the wine that penetrates to the back of the palate and offers many long minutes of persistency on the finish. The bouquet is redolent of black fruit, leather, spice, tar, licorice and dried herb.",Sorì San Lorenzo,96,495.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
68,Italy,"Elegant, fine and characterized by deep complexity, this celebrated bottling from Angelo Gaja offers dark nuances of plum, chocolate and dried tobacco, with delicate accents of ground licorice and herb. The long finish is powerful and generous. Drink after 2020.",Sorì Tildin,95,495.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
69,Germany,"So incredibly thick and sweet it's almost chewy in texture, with aromas and flavors that feature a fascinating interplay of fresh and dried apricots, peach and citrus, kept lively by healthy acidity. The finish lasts for minutes; the wine should age well for decades.",Trockenbeerenauslese Goldlack,97,486.0,Rheingau,Rheingau,Rheingau,Riesling,Schloss Johannisberger,False,Iconic: Over $50
70,France,"The small Mazoyères-Chambertin Grand Cru creates structured wines with plenty of texture and tannins. This is brooding, firm and very concentrated, with its fruit set way behind the dark tannins and spice note. It will take at least 10 years to start to mature.",*Unknown Wine*,95,475.0,Burgundy,Mazoyeres-Chambertin,Mazoyeres-Chambertin,Pinot Noir,Domaine Perrot-Minot,True,Iconic: Over $50
71,France,"This wine is perfumed with gorgeous fruit that contrasts with the strict minerality. The tannins under the fruit are severe, solid, dark and promising enormous potential. Concentrated even while it celebrates great fruit, it is going to last for many years. Drink from 2023.",*Unknown Wine*,97,468.0,Burgundy,Chambertin Clos de Bèze,Chambertin Clos de Bèze,Pinot Noir,Louis Jadot,True,Iconic: Over $50
72,Portugal,"Perfectly mature, this Port's tannins have softened over the past 40-plus years, leaving it lushly textured and displaying rich fig and chocolate flavors. Finishes long, picking up a touch of almond to go with the fig, flavors Symington calls “Dow's hallmarks.” Drink now–2015, longer if you prefer very mature wines.",Vintage,95,467.0,Port,Port,Port,Port,Dow's,True,Iconic: Over $50
73,France,"Still way too young, this is developing into a substantial and structured wine. Full of both fruit and tannins, it is dark and dense, very dry at this stage but with the most enticing perfumes. The Grand Cru, split between Chambolle-Musigny and Morey Saint-Denis, is known for its structure and this wine is a great example. Drink from 2020.",*Unknown Wine*,93,463.0,Burgundy,Bonnes-Mares,Bonnes-Mares,Pinot Noir,Jean-Luc and Paul Aegerter,True,Iconic: Over $50
74,Italy,"This wine shows growing intensity the longer it stays in the glass and a very silky, polished feel in the mouth. Aromas include red fruit, spice and rosemary: this is a beautiful, balanced wine that will have a long life in your cellar.",Masseto,97,460.0,Tuscany,Toscana,Toscana,Merlot,Tenuta dell'Ornellaia,True,Iconic: Over $50
